participant	steering_method	speed_method	hit	coin	time	direction	distance	altitude	sharpness	missdistance	traveldistance
P10	LeaningMethod	ControllerDistanceMethod	TRUE	0	0	Straight	Short	Same	Default	0	1553.037
P10	LeaningMethod	ControllerDistanceMethod	FALSE	1	8.399994	Straight	Medium	Up	Smooth	4.309975	2320.21
P10	LeaningMethod	ControllerDistanceMethod	FALSE	2	64.43997	Straight	Short	Up	Sharp	9.95457	4237.776
P10	LeaningMethod	ControllerDistanceMethod	FALSE	3	81.11996	Left	Long	Down	Default	12.31485	5217.725
P10	LeaningMethod	ControllerDistanceMethod	FALSE	4	82.61996	Straight	Short	Same	Sharp	52.42338	5456.795
P10	LeaningMethod	ControllerDistanceMethod	FALSE	5	89.09998	Right	Long	Up	Smooth	93.40961	6311.225
P10	LeaningMethod	ControllerDistanceMethod	FALSE	6	111.5	Straight	Medium	Same	Default	27.69847	7528.404
P10	LeaningMethod	ControllerDistanceMethod	FALSE	7	114.02	Left	Medium	Up	Sharp	48.73128	8039.263
P10	LeaningMethod	ControllerDistanceMethod	FALSE	8	114.9	Right	Short	Down	Sharp	10.15209	8283.355
P10	LeaningMethod	ControllerDistanceMethod	FALSE	9	116.3	Straight	Medium	Down	Sharp	106.1087	8716.263
P10	LeaningMethod	ControllerDistanceMethod	FALSE	10	117.46	Left	Short	Same	Smooth	47.84254	9051.879
P10	LeaningMethod	ControllerDistanceMethod	FALSE	11	120.08	Right	Long	Down	Default	50.00703	9798.31
P10	LeaningMethod	ControllerDistanceMethod	FALSE	12	129.6599	Right	Long	Same	Smooth	12.44509	11018.76
P10	LeaningMethod	ControllerDistanceMethod	FALSE	13	131.44	Left	Medium	Down	Default	75.31938	11494.12
P10	LeaningMethod	ControllerDistanceMethod	FALSE	14	151.7599	Left	Short	Same	Default	17.88911	14800.97
P10	LeaningMethod	ControllerDistanceMethod	TRUE	15	154.5599	Right	Long	Up	Smooth	0	15299.03
P10	LeaningMethod	LeaningMethod	TRUE	0	0	Straight	Short	Same	Default	0	3487.349
P10	LeaningMethod	LeaningMethod	TRUE	1	5.419922	Straight	Medium	Up	Smooth	0	3894.672
P10	LeaningMethod	LeaningMethod	TRUE	2	12.23999	Left	Long	Same	Sharp	0	4502.782
P10	LeaningMethod	LeaningMethod	TRUE	3	14.21997	Left	Short	Down	Sharp	0	4710.828
P10	LeaningMethod	LeaningMethod	TRUE	4	17.8999	Straight	Short	Up	Default	0	4916.611
P10	LeaningMethod	LeaningMethod	TRUE	5	21.26001	Right	Short	Same	Default	0	5128.709
P10	LeaningMethod	LeaningMethod	TRUE	6	26.95996	Right	Long	Down	Smooth	0	5737.273
P10	LeaningMethod	LeaningMethod	TRUE	7	30.19995	Straight	Medium	Same	Smooth	0	6141.126
P10	LeaningMethod	LeaningMethod	TRUE	8	32.64001	Right	Short	Up	Smooth	0	6345.862
P10	LeaningMethod	LeaningMethod	TRUE	9	37.31995	Straight	Long	Same	Default	0	6949.246
P10	LeaningMethod	LeaningMethod	TRUE	10	43.45996	Left	Medium	Up	Sharp	0	7437.27
P10	LeaningMethod	LeaningMethod	TRUE	11	45.31995	Right	Short	Same	Sharp	0	7640.509
P10	LeaningMethod	LeaningMethod	TRUE	12	48.71997	Right	Medium	Up	Default	0	8049.55
P10	LeaningMethod	LeaningMethod	TRUE	13	52.76001	Left	Long	Down	Smooth	0	8659.568
P10	LeaningMethod	LeaningMethod	TRUE	14	55.13989	Left	Medium	Down	Sharp	0	9060.152
P10	LeaningMethod	LeaningMethod	TRUE	15	58.71997	Straight	Long	Down	Default	0	9670.574
P10	ControllerMethod	ControllerDistanceMethod	TRUE	0	0	Straight	Short	Same	Default	0	3517.887
P10	ControllerMethod	ControllerDistanceMethod	TRUE	1	2.640015	Straight	Medium	Up	Smooth	0	3918.956
P10	ControllerMethod	ControllerDistanceMethod	TRUE	2	3.800049	Straight	Short	Up	Default	0	4122.646
P10	ControllerMethod	ControllerDistanceMethod	TRUE	3	4.980103	Straight	Short	Same	Default	0	4321.29
P10	ControllerMethod	ControllerDistanceMethod	TRUE	4	8.640015	Right	Medium	Same	Sharp	0	4722.914
P10	ControllerMethod	ControllerDistanceMethod	FALSE	5	9.880005	Left	Short	Up	Sharp	3.980436	5028.938
P10	ControllerMethod	ControllerDistanceMethod	TRUE	6	14.32007	Right	Long	Same	Sharp	0	5569.207
P10	ControllerMethod	ControllerDistanceMethod	TRUE	7	16.68005	Left	Short	Up	Smooth	0	5774.877
P10	ControllerMethod	ControllerDistanceMethod	TRUE	8	22.08008	Left	Long	Down	Smooth	0	6386.143
P10	ControllerMethod	ControllerDistanceMethod	TRUE	9	26.62	Straight	Long	Same	Smooth	0	6988.464
P10	ControllerMethod	ControllerDistanceMethod	TRUE	10	30.58008	Right	Medium	Down	Default	0	7391.698
P10	ControllerMethod	ControllerDistanceMethod	TRUE	11	34.09998	Right	Long	Down	Default	0	7991.459
P10	ControllerMethod	ControllerDistanceMethod	TRUE	12	35.28003	Right	Short	Same	Smooth	0	8194.445
P10	ControllerMethod	ControllerDistanceMethod	FALSE	13	37.92004	Straight	Medium	Up	Sharp	1.293817	8695.228
P10	ControllerMethod	ControllerDistanceMethod	TRUE	14	40.66003	Left	Medium	Down	Default	0	9019.985
P10	ControllerMethod	ControllerDistanceMethod	TRUE	15	43.40002	Left	Long	Down	Sharp	0	9618.224
P10	ControllerMethod	LeaningMethod	TRUE	0	0	Straight	Short	Same	Default	0	3221.625
P10	ControllerMethod	LeaningMethod	TRUE	1	6.880005	Straight	Medium	Up	Smooth	0	3623.615
P10	ControllerMethod	LeaningMethod	TRUE	2	13.92004	Straight	Long	Up	Smooth	0	4227.306
P10	ControllerMethod	LeaningMethod	TRUE	3	17.04004	Straight	Medium	Same	Default	0	4627.778
P10	ControllerMethod	LeaningMethod	TRUE	4	20.28003	Right	Medium	Same	Sharp	0	5032.916
P10	ControllerMethod	LeaningMethod	TRUE	5	28.38	Left	Long	Up	Default	0	5652.803
P10	ControllerMethod	LeaningMethod	TRUE	6	30.73999	Right	Short	Same	Default	0	5863.226
P10	ControllerMethod	LeaningMethod	TRUE	7	35.54004	Left	Long	Same	Sharp	0	6467.721
P10	ControllerMethod	LeaningMethod	TRUE	8	38.52002	Straight	Short	Down	Default	0	6671.271
P10	ControllerMethod	LeaningMethod	TRUE	9	41.95996	Right	Short	Up	Sharp	0	6872.558
P10	ControllerMethod	LeaningMethod	TRUE	10	44.66003	Left	Short	Up	Default	0	7069.606
P10	ControllerMethod	LeaningMethod	TRUE	11	47.29993	Left	Medium	Down	Smooth	0	7472.756
P10	ControllerMethod	LeaningMethod	TRUE	12	51.67993	Left	Long	Same	Smooth	0	8075.106
P10	ControllerMethod	LeaningMethod	TRUE	13	53.83997	Right	Medium	Down	Sharp	0	8475.341
P10	ControllerMethod	LeaningMethod	TRUE	14	55.09998	Right	Short	Down	Smooth	0	8678.521
P10	ControllerMethod	LeaningMethod	TRUE	15	58.26001	Straight	Long	Down	Sharp	0	9289.886
P11	LeaningMethod	LeaningMethod	TRUE	0	0	Straight	Short	Same	Default	0	2210.182
P11	LeaningMethod	LeaningMethod	TRUE	1	7.5	Straight	Medium	Up	Smooth	0	2628.625
