method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Hand,_3D,True,0,0,Straight,Same,0,3,30,0,21.48295,228.29,171.5199,99.95,0,0,5513.545,6486.462,4818.492,43864,5147,24077,0
Hand,_3D,True,1,29.21997,Right,Same,168.5298,3,171.4133,0,243.7946,986.41,386.33,252.5901,0,0,6480.829,3378.124,4883.447,20912,0,72643,0
Hand,_3D,True,2,36.79999,Left,Up,168.5298,41.2026,388.071,0,477.7975,363.71,190.54,114.58,0,18,1156.924,797.6758,775.3469,14,0,6550,0
Hand,_3D,True,3,44.63998,Left,Up,2.560349,79.4052,527.3359,0,704.5844,335.5401,183.95,121.55,0,13,1198.566,1561.088,1138.811,0,0,2990,0
Hand,_3D,True,4,54.5,Left,Same,-214.0974,79.4052,489.1333,0,929.761,341.4,241.48,150.84,-11,12,1895.336,413.9991,56.48669,1227,0,11964,0
Hand,_3D,True,5,64.91998,Right,Up,-380.0668,117.6078,628.3982,0,1166.818,474.94,120.06,113.46,-1,14,1584.276,1923.508,2231.013,3957,0,15192,0
Hand,_3D,True,6,76.57999,Right,Down,-380.0667,79.4052,845.0559,0,1465.83,554.54,153.07,161.36,-19,0,1276.64,578.407,1537.728,2772,0,27845,0
Hand,_3D,True,7,84.25998,Right,Up,-214.0973,117.6078,984.3208,0,1686.558,454.24,165.13,103.76,0,15,1575.058,882.9047,1865.371,5147,0,9386,0
Hand,_3D,True,8,92.65997,Straight,Same,-45.5675,117.6078,1125.734,0,1907.199,527.25,87.45,120.33,0,0,1576.561,444.6038,1147.444,2525,0,9351,0
Hand,_3D,True,9,102.02,Straight,Down,120.4019,79.4052,1264.999,0,2131.768,252.14,158.33,164.1199,-24,5,1250.921,1541.953,1857.248,2205,0,354,0
Hand,_3D,True,10,110.78,Left,Same,120.402,79.4052,1484.999,0,2356.021,528.88,154.65,180,-3,0,864.3495,815.4418,801.0691,2955,0,6426,0
Hand,_3D,True,11,119.72,Right,Down,286.3714,41.2026,1624.264,0,2618.589,308,134.46,215.7801,-17,0,158.2099,129.4015,452.6357,9940,0,2231,0
Hand,_3D,True,12,131.86,Left,Same,286.3715,41.2026,1844.264,0,2929.217,975.34,171.3701,254.49,0,4,2691.183,1297.512,819.901,9493,0,3917,0
Hand,_3D,True,13,141.16,Right,Down,452.3409,2.999992,1983.529,0,3172.745,690.89,156.86,201.73,-24,1,146.2878,501.3188,1169.714,12369,0,0,0
Hand,_3D,True,14,150.48,Left,Up,452.3409,41.20259,2200.186,0,3431.472,525.1401,138.73,190.92,0,20,2290.472,511.7542,426.6954,10148,0,0,0
Hand,_3D,True,15,158.66,Straight,Down,452.341,2.999992,2416.844,0,3650.945,551.37,77.37006,191.7999,-17,0,830.8744,798.063,64.71225,8672,0,0,0
