method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Head,_3D,True,0,0,Straight,Same,0,3,30,0,22.05565,0,0,0,0,0,10153.09,7131.021,17706,192040,520129,223113,491364
Head,_3D,True,1,11.15999,Straight,Same,0,3,250,0,248.8766,0,0,0,0,0,1946.371,3024.317,3289.74,100402,155882,89543,147870
Head,_3D,True,2,21.75999,Right,Same,168.5298,3,391.4133,0,478.4424,0,0,0,0,0,851.0076,1415.222,2945.489,92921,142471,75586,130421
Head,_3D,True,3,31.35999,Left,Up,168.5298,41.2026,608.071,0,713.5038,0,0,0,0,0,1264.087,2672.874,1842.285,83271,127824,62338,106996
Head,_3D,True,4,40.23999,Straight,Up,168.5298,79.4052,824.7287,0,935.4971,0,0,0,0,0,1950.074,2248.895,2562.946,81932,119065,57149,93754
Head,_3D,False,5,52.81999,Straight,Down,168.5298,41.2026,1041.386,7.658218,1281.762,0,0,0,0,0,1749.536,2595.039,2585.938,124140,170503,107875,152158
Head,_3D,False,6,52.81999,Straight,Up,168.5298,79.4052,1258.044,105.5286,1281.762,0,0,0,0,0,0,0,0,0,0,0,0
Head,_3D,True,7,65.14,Right,Down,334.4992,41.20259,1397.309,0,1605.35,0,0,0,0,0,1788.037,1641.048,1874.094,128015,170640,85667,156500
Head,_3D,True,8,74.64,Left,Up,334.4992,79.4052,1613.967,0,1842.798,0,0,0,0,0,1666.89,1580.665,1491.882,91935,125505,63190,111747
Head,_3D,True,9,83.74001,Left,Down,168.5298,41.20259,1753.232,0,2086.823,0,0,0,0,0,1627.404,848.2437,1863.644,81891,117234,63335,116817
Head,_3D,True,10,94.14,Right,Up,168.5297,79.40519,1969.889,0,2355.492,0,0,0,0,0,2355.823,2055.994,2590.472,92849,134506,63787,128360
Head,_3D,True,11,102.26,Right,Up,334.4991,117.6078,2109.154,0,2588.22,0,0,0,0,0,1247.256,1219.799,416.663,79814,102806,46766,87930
Head,_3D,True,12,111.72,Left,Down,334.4991,79.40519,2325.812,0,2837.07,0,0,0,0,0,1270.574,1575.038,2578.86,83334,125884,60696,115172
Head,_3D,True,13,122.76,Right,Down,500.4685,41.20259,2465.077,0,3093.889,0,0,0,0,0,1229.995,1349.963,1504.495,103982,144427,46081,127497
Head,_3D,True,14,132.54,Left,Down,500.4685,2.999996,2681.735,0,3337.116,0,0,0,0,0,861.1337,1599.538,779.9226,94896,134048,54644,105501
Head,_3D,True,15,140.98,Left,Same,331.9387,2.999996,2823.148,0,3561.097,0,0,0,0,0,1881.068,1898.537,1850.252,89278,109050,62874,99597
