method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Hand,_3D,True,0,0,Straight,Same,0,3,30,0,22.62111,58.33003,105.63,30.38005,-13,14,54.88513,759.1862,389.8096,0,391,0,0
Hand,_3D,True,1,13.28,Right,Same,168.5298,3,171.4133,0,259.3665,867.0799,120.6201,179,0,0,128.7106,869.4846,79.60471,1180,1535,1730,0
Hand,_3D,True,2,28.38,Left,Up,168.5298,41.2026,388.071,0,547.2372,1041.21,163.8601,262.5801,-9,35,1248.398,183.7313,478.5537,42018,25998,464,0
Hand,_3D,True,3,41.73999,Left,Up,2.560349,79.4052,527.3359,0,770.8427,413.87,145.42,143.41,0,37,186.8168,1547.321,806.7739,14080,6667,19860,0
Hand,_3D,True,4,55.98001,Left,Same,-214.0974,79.4052,489.1333,0,1051.415,601.66,168.8499,199.2599,-7,2,1223.26,1644.162,465.5832,54043,39100,20845,0
Hand,_3D,True,5,68.5,Right,Up,-380.0668,117.6078,628.3982,0,1341.052,533.71,172.6699,169.56,-10,28,870.3432,174.4007,813.9694,59632,62788,62172,0
Hand,_3D,False,6,83.16,Right,Down,-380.0667,79.4052,845.0559,8.081959,1683.623,468.3401,190.8499,185.08,-19,24,1283.747,1609.3,827.825,43969,71365,88543,0
Hand,_3D,True,7,88.78,Right,Up,-214.0973,117.6078,984.3208,0,1819.706,316.66,97.86996,122.89,-11,9,786.1218,427.4646,416.0233,18923,24935,17751,191
Hand,_3D,True,8,99.51999,Straight,Same,-45.5675,117.6078,1125.734,0,2054.931,532.23,144.6,172.0001,-4,17,492.3693,1214.116,1541.021,30184,46359,43949,64
Hand,_3D,False,9,115.28,Straight,Down,120.4019,79.4052,1264.999,6.029872,2425.536,884.8903,200.69,249.3,-32,4,927.1907,1246.334,1916.615,84658,104247,11689,219
Hand,_3D,True,10,117.78,Left,Same,120.402,79.4052,1484.999,0,2499.62,102.93,70.06001,55.57001,-2,0,38.028,372.2606,371.5411,7676,15593,2161,0
Hand,_3D,True,11,129.5,Right,Down,286.3714,41.2026,1624.264,0,2786.893,475.54,178.43,200.36,-16,0,1969.531,634.3545,1170.161,52985,71755,47813,0
Hand,_3D,True,12,142.04,Left,Same,286.3715,41.2026,1844.264,0,3102.185,702.7801,204.24,248.88,-6,5,1581.87,1297.861,2609.958,38926,63792,47386,0
Hand,_3D,True,13,157.74,Right,Down,452.3409,2.999992,1983.529,0,3481.215,799.2198,211.54,223.59,-20,5,3421.802,1350.548,1571.557,69088,114538,102806,0
Hand,_3D,True,14,171.82,Left,Up,452.3409,41.20259,2200.186,0,3857.427,758.0199,218.84,277.5299,-5,22,1270.54,1350.731,849.3294,77643,106101,52031,0
Hand,_3D,True,15,181.1,Straight,Down,452.341,2.999992,2416.844,0,4108.876,588.8101,152.64,223.7701,-13,0,868.1727,1214.312,1151.312,47079,54833,44919,0
