method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Hand,_3D,True,0,0,Straight,Same,0,3,30,0,21.97191,63.38997,164.33,43.67998,0,0,2527.195,2012.365,2004.291,0,0,0,0
Hand,_3D,True,1,15.90002,Straight,Same,0,3,250,0,245.7809,642.5801,177.12,150.5101,0,0,1635.732,4115.658,1541.975,0,0,0,0
Hand,_3D,True,2,24.80005,Right,Same,168.5298,3,391.4133,0,482.2623,391.33,105.7499,97.72998,0,0,116.9701,828.4075,1147.655,0,0,0,0
Hand,_3D,True,3,33.68005,Left,Same,168.5298,3,611.4133,0,727.8177,476.5901,110.42,118.54,0,0,481.1183,1193.974,1498.975,0,0,0,0
Hand,_3D,True,4,41.38,Straight,Same,168.5298,3,831.4133,0,947.3411,368.75,116.18,87.93001,0,0,138.8611,1521.691,1865.968,0,0,0,0
Hand,_3D,True,5,50.71997,Right,Same,337.0595,3,972.8265,0,1177.101,486.8101,114.7,104.42,0,0,872.8893,464.2322,2234.794,0,0,0,0
Hand,_3D,True,6,59.31995,Left,Same,337.0595,3,1192.827,0,1420.857,273.39,108.89,97.20999,0,0,133.499,465.1123,427.7393,0,0,0,0
Hand,_3D,True,7,66.47998,Straight,Same,337.0595,3,1412.827,0,1643.947,392.74,99.72002,76.40004,0,0,839.0034,1167.895,1131.125,0,0,0,0
Hand,_3D,True,8,74.95996,Right,Same,505.5893,3,1554.24,0,1890.828,487.4701,122.25,156.94,0,0,128.6033,494.408,793.5883,0,0,0,0
Hand,_3D,True,9,83.5,Left,Same,505.5893,3,1774.24,0,2131.254,412,112.76,80.65002,0,0,479.3365,1187.416,438.0735,0,0,0,0
Hand,_3D,False,10,95.42004,Straight,Same,505.5893,3,1994.24,5.451806,2483.782,416.15,162.2001,145.5,0,0,556.5544,483.1608,88.06952,0,0,0,0
Hand,_3D,True,11,99.02002,Right,Same,674.1191,3,2135.653,0,2593.403,226.66,60.53004,39.56999,0,0,56.94144,36.75502,1833.885,0,0,0,0
Hand,_3D,True,12,109.58,Left,Same,674.1191,3,2355.653,0,2885.132,461.5701,145.4301,117.21,0,0,1231.166,490.2198,1879.59,0,0,0,0
Hand,_3D,True,13,115.5,Left,Same,505.5893,3,2497.066,0,3102.284,266.21,122.57,74.59999,0,0,97.04301,422.3046,422.743,0,0,0,0
Hand,_3D,True,14,123.36,Left,Same,288.9316,3,2458.864,0,3363.881,384.05,124.56,93.14996,0,0,116.37,832.4625,426.6354,0,0,0,0
Hand,_3D,True,15,130.48,Right,Same,120.4018,3,2600.277,0,3596.503,189.45,103.9,69.05998,0,0,502.5227,786.5033,43.44534,0,0,0,0
